"","V1","V2","V3"
"1","http://bbs3.agora.media.daum.net/gaia/do/story/read?bbsId=S101&articleId=191137","2015.11.24 (화) 오전 09:41","성황리에 마무리됐습니다. 올해는 14년 만에 "
"2","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D109&articleId=1459943","2015.11.02 (월) 오후 21:02","2015년 미메이저리그와 대한민국 메이저리그의 월드시리즈는 캔자스 시티 로얄즈와 "
"3","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D115&articleId=3422133","2015.11.02 (월) 오후 14:53","종말심판과 천년왕국!"" <성령 마리아 교회> http://blog.daum.net/mary-paul/446 프로야구 한국 시리즈의 우승이 "
"4","http://bbs3.agora.media.daum.net/gaia/do/story/read?bbsId=S101&articleId=186366","2015.10.31 (토) 오후 23:32","팀은 "
"5","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D101&articleId=5293576","2015.10.31 (토) 오후 21:17","부산사람 아니다 서울사람들 중 에서 당신들 이기적이라서 대구 경북 싫어하는 사람들 많다 착각하지마라 오늘 "
"6","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D101&articleId=5293448","2015.10.31 (토) 오후 17:35","그래 기적이 있긴있구나
				"
"7","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D125&articleId=1174825","2015.10.29 (목) 오전 00:52","이순신처럼 을지문덕처럼 싸워서 이길자신없다면 내려오는게 공동체를 살리는길이다!! 한국시리즈에 나서서 우승하겠다는 "
"8","http://bbs3.agora.media.daum.net/gaia/do/story/read?bbsId=K161&articleId=543056","2015.10.25 (일) 오후 19:32","하하하하하 우리 "
"9","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D115&articleId=3413655","2015.10.21 (수) 오전 06:43","NC 다이노스와 "
"10","http://bbs1.agora.media.daum.net/gaia/do/debate/read?bbsId=D101&articleId=5284734","2015.10.16 (금) 오전 11:06","야구판 예송 논쟁 '빵 사건' 때는 2004년으로 거슬러 올라간다. KIA 타이거즈는 당시 "
